GAW,GAW10,GAW20,Std_Degree,node_amt_total_in,node_amt_min_in,node_amt_max_in,node_amt_mean_in,node_amt_median_in,node_amt_std_in,node_deg_in,node_deg_in_unique,node_amt_total_out,node_amt_min_out,node_amt_max_out,node_amt_mean_out,node_amt_median_out,node_amt_std_out,node_deg_out,node_deg_out_unique,node_deg_total,max_account_balance,min_account_balance,starting_balance,ending_balance,max_balance_shift,limit_balance_shift,id,node_isSar
0.0,0.0,0.0,-0.038107391340755845,2103.21,466.35,585.94,525.8025,525.46,51.060292975559804,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60537.030000000006,58433.82,58433.82,60537.030000000006,2103.2100000000064,-2103.2100000000064,0.0,0.0
2.512497013192562,0.0,0.0,2.3562490669300478,230267.27000000002,29.57,997.15,519.790677200903,496.99,264.63515932209106,443.0,13.0,111178.20999999999,108.25,993.26,539.7000485436893,524.145,257.5668387370314,206.0,25.0,649.0,236736.18999999983,99157.07,99157.07,218246.1299999997,137579.11999999982,-119089.0599999997,1.0,0.0
0.0,0.0,0.0,2.4892688701673142,107879.13,4.74,998.96,523.6850970873786,501.97,267.77612068383866,206.0,14.0,114083.69000000002,105.64,999.87,553.8043203883497,557.935,255.42739302024881,206.0,26.0,412.0,132712.84999999995,90783.53999999996,98193.3,91988.73999999996,41929.30999999998,6204.560000000041,2.0,0.0
0.0,0.0,0.0,6.479862967285319,296696.63,25.73,999.52,544.3974862385321,533.67,263.7532320489169,545.0,39.0,110848.06,100.17,998.85,540.722243902439,520.62,248.4109149301381,205.0,61.0,750.0,260698.36000000002,73141.7,73141.7,258990.27000000002,187556.66000000003,-185848.57,3.0,0.0
0.0,0.0,0.0,6.67939267214122,379899.95,7.32,998.65,554.5984671532847,541.54,255.18223553108683,685.0,46.0,114453.42,111.69,994.41,555.5991262135922,562.63,263.9040589500367,206.0,57.0,891.0,359487.31999999983,93172.65999999999,93303.34,358749.8699999998,266314.65999999986,-265446.5299999998,4.0,0.0
0.0,0.0,0.0,6.745902573759853,635781.43,20.27,999.63,539.2548176420696,525.91,262.24068000644445,1179.0,47.0,121862.69999999998,103.36,998.23,591.5665048543689,603.19,260.3592230992259,206.0,57.0,1385.0,608143.7300000008,87952.9,87952.9,601871.6300000004,520190.8300000008,-513918.73000000033,5.0,0.0
0.0,0.0,0.0,11.335085785445559,620343.75,26.25,999.62,538.9606863596872,533.42,269.240043512052,1151.0,70.0,110322.61999999998,106.97,996.78,535.5466990291261,519.685,277.8231805837773,206.0,103.0,1357.0,607915.3799999999,97448.25,97448.25,607469.3799999998,510467.1299999999,-510021.1299999998,6.0,0.0
0.0,0.0,0.0,11.202065982208293,540780.84,55.2,999.1,551.2546788990826,556.08,262.6203681250804,981.0,68.0,109248.29999999999,104.52,992.22,530.3315533980582,515.015,267.9264288063549,206.0,103.0,1187.0,526356.9300000002,93885.64,93885.64,525418.1800000002,432471.29000000015,-431532.54000000015,7.0,0.0
0.0,0.0,0.0,11.468105588682826,878225.05,0.0,999.52,539.1191221608349,544.92,269.01855767334837,1629.0,72.0,115290.01,107.76,997.0,559.6602427184466,542.735,256.517421737385,206.0,103.0,1835.0,842161.8600000013,78682.38,78682.38,841617.4200000013,763479.4800000013,-762935.0400000013,8.0,0.0
0.0,0.0,0.0,13.064343227530028,1101701.85,22.11,999.41,545.667087667162,544.07,258.65781192719385,2019.0,96.0,111944.19,102.58,996.1,543.4183980582525,528.105,253.79581228777676,206.0,103.0,2225.0,1087918.9700000025,97514.16,97514.16,1087271.8200000026,990404.8100000025,-989757.6600000026,9.0,0.0
