ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,5180,C_5180,20170104,fan_in,INDIVIDUAL,YES
0,108,C_108,20170104,fan_in,INDIVIDUAL,YES
0,5208,C_5208,20170601,fan_in,INDIVIDUAL,YES
0,1412,C_1412,20171027,fan_in,INDIVIDUAL,YES
0,1413,C_1413,20180324,fan_in,INDIVIDUAL,YES
1,5396,C_5396,20170103,fan_in,INDIVIDUAL,YES
1,25,C_25,20170103,fan_in,INDIVIDUAL,YES
1,5055,C_5055,20170327,fan_in,INDIVIDUAL,YES
1,3290,C_3290,20170618,fan_in,INDIVIDUAL,YES
2,5744,C_5744,20170102,fan_in,INDIVIDUAL,YES
2,123,C_123,20170102,fan_in,INDIVIDUAL,YES
2,1599,C_1599,20170220,fan_in,INDIVIDUAL,YES
2,7816,C_7816,20170410,fan_in,INDIVIDUAL,YES
3,1348,C_1348,20170101,fan_in,INDIVIDUAL,YES
3,69,C_69,20170101,fan_in,INDIVIDUAL,YES
3,3928,C_3928,20170127,fan_in,INDIVIDUAL,YES
3,2790,C_2790,20170222,fan_in,INDIVIDUAL,YES
3,5000,C_5000,20170320,fan_in,INDIVIDUAL,YES
3,1007,C_1007,20170415,fan_in,INDIVIDUAL,YES
3,3410,C_3410,20170511,fan_in,INDIVIDUAL,YES
3,6948,C_6948,20170606,fan_in,INDIVIDUAL,YES
3,5191,C_5191,20170702,fan_in,INDIVIDUAL,YES
4,3953,C_3953,20170102,fan_in,INDIVIDUAL,YES
4,180,C_180,20170102,fan_in,INDIVIDUAL,YES
4,5580,C_5580,20170110,fan_in,INDIVIDUAL,YES
4,4496,C_4496,20170118,fan_in,INDIVIDUAL,YES
4,3544,C_3544,20170126,fan_in,INDIVIDUAL,YES
4,4194,C_4194,20170203,fan_in,INDIVIDUAL,YES
4,5431,C_5431,20170211,fan_in,INDIVIDUAL,YES
5,5691,C_5691,20170105,fan_in,INDIVIDUAL,YES
5,74,C_74,20170105,fan_in,INDIVIDUAL,YES
5,4403,C_4403,20170214,fan_in,INDIVIDUAL,YES
5,7777,C_7777,20170326,fan_in,INDIVIDUAL,YES
6,3165,C_3165,20170101,fan_in,INDIVIDUAL,YES
6,88,C_88,20170101,fan_in,INDIVIDUAL,YES
6,2544,C_2544,20170125,fan_in,INDIVIDUAL,YES
6,7843,C_7843,20170218,fan_in,INDIVIDUAL,YES
6,937,C_937,20170314,fan_in,INDIVIDUAL,YES
6,1323,C_1323,20170407,fan_in,INDIVIDUAL,YES
6,1860,C_1860,20170501,fan_in,INDIVIDUAL,YES
6,6300,C_6300,20170525,fan_in,INDIVIDUAL,YES
6,3740,C_3740,20170618,fan_in,INDIVIDUAL,YES
7,5902,C_5902,20170101,fan_in,INDIVIDUAL,YES
7,37,C_37,20170101,fan_in,INDIVIDUAL,YES
7,1262,C_1262,20170108,fan_in,INDIVIDUAL,YES
7,7116,C_7116,20170115,fan_in,INDIVIDUAL,YES
7,1345,C_1345,20170122,fan_in,INDIVIDUAL,YES
7,2898,C_2898,20170129,fan_in,INDIVIDUAL,YES
7,6389,C_6389,20170205,fan_in,INDIVIDUAL,YES
8,31,C_31,20170102,fan_out,INDIVIDUAL,YES
8,4227,C_4227,20170102,fan_out,INDIVIDUAL,YES
8,3131,C_3131,20170111,fan_out,INDIVIDUAL,YES
8,5196,C_5196,20170422,fan_out,INDIVIDUAL,YES
8,6245,C_6245,20170517,fan_out,INDIVIDUAL,YES
8,4980,C_4980,20170604,fan_out,INDIVIDUAL,YES
8,2395,C_2395,20170616,fan_out,INDIVIDUAL,YES
9,181,C_181,20170106,fan_out,INDIVIDUAL,YES
9,4551,C_4551,20170106,fan_out,INDIVIDUAL,YES
9,3402,C_3402,20170121,fan_out,INDIVIDUAL,YES
9,4099,C_4099,20170511,fan_out,INDIVIDUAL,YES
9,2820,C_2820,20171024,fan_out,INDIVIDUAL,YES
9,5153,C_5153,20171128,fan_out,INDIVIDUAL,YES
9,5386,C_5386,20180210,fan_out,INDIVIDUAL,YES
9,286,C_286,20180302,fan_out,INDIVIDUAL,YES
10,49,C_49,20170107,fan_out,INDIVIDUAL,YES
10,1626,C_1626,20170107,fan_out,INDIVIDUAL,YES
10,6044,C_6044,20170123,fan_out,INDIVIDUAL,YES
10,2269,C_2269,20170128,fan_out,INDIVIDUAL,YES
10,6131,C_6131,20170310,fan_out,INDIVIDUAL,YES
10,7522,C_7522,20170319,fan_out,INDIVIDUAL,YES
