step,normal,SAR
0,310,3
1,332,3
2,337,1
3,341,1
4,328,1
5,349,1
6,295,1
7,310,1
8,333,0
9,337,1
10,339,1
11,328,0
12,349,1
13,295,0
14,311,1
15,331,0
16,337,0
17,339,1
18,327,0
19,350,1
20,293,1
21,309,2
22,329,1
23,335,2
24,337,1
25,328,1
26,352,1
27,297,1
28,311,2
29,335,0
30,338,1
31,340,1
32,328,1
33,350,1
34,298,0
35,311,1
36,336,0
37,340,0
38,341,0
39,329,0
40,350,0
41,296,1
42,311,0
43,329,0
44,335,2
45,338,0
46,327,0
47,346,0
48,294,1
49,308,2
50,329,1
51,336,0
52,337,2
53,326,0
54,347,0
55,294,2
56,309,0
57,330,0
58,335,1
59,338,2
60,325,1
61,347,0
62,293,1
63,308,2
64,329,1
65,336,2
66,339,1
67,326,0
68,347,2
69,293,0
70,308,3
71,333,0
72,335,2
73,337,1
74,325,2
75,346,1
76,294,0
77,310,1
78,329,1
79,336,0
80,338,1
81,327,0
82,348,0
83,294,0
84,309,1
85,331,2
86,337,1
87,337,0
88,325,0
89,350,0
90,295,0
91,308,0
92,330,0
93,337,0
94,338,0
95,327,0
96,346,1
97,293,0
98,309,0
99,329,1
100,335,0
101,339,0
102,325,0
103,346,0
104,294,1
105,309,0
106,333,0
107,342,0
108,344,0
109,333,0
110,354,0
111,299,1
112,314,0
113,337,0
114,341,0
115,343,0
116,333,0
117,352,0
118,296,1
119,310,0
120,331,1
121,340,0
122,343,0
123,328,0
124,351,0
125,297,0
126,308,1
127,331,0
128,336,0
129,339,0
130,326,3
131,347,0
132,295,0
133,308,0
134,329,0
135,336,0
136,339,1
137,327,0
138,346,0
139,295,6
140,309,0
141,330,4
142,338,2
143,338,0
144,325,4
145,349,3
146,293,3
147,310,1
148,329,1
149,336,0
150,337,1
151,326,2
152,346,0
153,294,0
154,309,1
155,329,0
156,336,1
157,337,0
158,325,0
159,347,0
160,293,0
161,308,0
162,329,0
163,335,0
164,338,0
165,325,0
166,347,2
167,293,0
168,309,2
169,329,0
170,336,0
171,337,0
172,325,0
173,347,0
174,294,0
175,308,0
176,330,0
177,338,0
178,342,0
179,328,0
180,350,0
181,297,0
182,312,1
183,332,0
184,341,0
185,341,1
186,328,0
187,349,1
188,296,0
189,312,1
190,332,0
191,338,1
192,341,0
193,328,0
194,346,0
195,296,0
196,310,0
197,329,0
198,335,2
199,339,0
200,326,0
201,346,1
202,294,0
203,308,0
204,329,0
205,334,1
206,337,0
207,326,0
208,346,0
209,293,0
210,306,0
211,325,1
212,334,0
213,334,0
214,325,0
215,343,0
216,292,0
217,304,0
218,323,0
219,327,0
220,331,0
221,319,0
222,338,0
223,289,0
224,297,0
225,320,0
226,320,1
227,323,1
228,310,2
229,333,1
230,283,1
231,292,1
232,312,0
233,309,0
234,318,0
235,303,0
236,328,0
237,278,0
238,287,1
239,304,1
240,307,1
241,312,0
242,300,1
243,324,0
244,270,0
245,283,1
246,298,0
247,302,0
248,307,0
249,297,0
250,317,0
251,266,1
252,278,3
253,291,0
254,290,1
255,298,0
256,285,0
257,310,0
258,256,0
259,269,1
260,284,0
261,282,0
262,290,0
263,274,0
264,305,0
265,249,0
266,263,2
267,275,0
268,275,2
269,285,1
270,275,0
271,299,0
272,242,0
273,259,0
274,273,0
275,273,0
276,276,0
277,264,0
278,290,0
279,231,0
280,249,0
281,262,0
282,261,0
283,264,0
284,243,0
285,284,0
286,224,0
287,241,0
288,249,0
289,257,0
290,256,0
291,240,0
292,276,0
293,218,0
294,239,0
295,244,0
296,254,1
297,251,0
298,236,0
299,270,1
300,217,1
301,234,1
302,244,0
303,248,1
304,244,1
305,228,1
306,265,1
307,214,0
308,223,0
309,232,0
310,239,1
311,238,1
312,225,1
313,259,0
314,206,1
315,214,0
316,229,2
317,238,2
318,233,0
319,217,1
320,254,1
321,205,0
322,215,0
323,222,0
324,229,1
325,225,0
326,208,0
327,243,1
328,198,1
329,206,0
330,206,0
331,219,1
332,215,1
333,201,2
334,232,0
335,188,0
336,200,0
337,198,0
338,213,0
339,205,0
340,199,0
341,226,0
342,183,1
343,198,0
344,198,0
345,209,1
346,199,0
347,197,1
348,218,0
349,173,1
350,195,0
351,192,0
352,202,0
353,198,0
354,192,0
355,214,0
356,168,0
357,184,0
358,186,0
359,198,0
360,189,0
361,187,0
362,207,0
363,165,2
364,178,2
365,176,1
366,186,1
367,181,0
368,180,1
369,199,1
370,156,2
371,171,1
372,170,0
373,173,2
374,174,0
375,178,0
376,192,1
377,152,0
378,161,0
379,166,0
380,169,0
381,162,0
382,164,0
383,184,0
384,148,0
385,152,0
386,163,0
387,163,1
388,157,0
389,159,0
390,183,0
391,139,0
392,146,0
393,158,0
394,161,0
395,151,0
396,156,0
397,168,0
398,137,0
399,143,0
400,151,0
401,149,0
402,146,0
403,149,0
404,168,0
405,131,1
406,140,1
407,149,0
408,145,0
409,144,0
410,148,0
411,156,0
412,127,0
413,131,0
414,138,0
415,138,0
416,130,0
417,135,0
418,149,0
419,114,0
420,129,0
421,136,0
422,129,0
423,126,0
424,132,0
425,135,1
426,107,0
427,127,0
428,131,0
429,125,0
430,120,0
431,126,0
432,133,0
433,102,0
434,123,0
435,131,0
436,122,0
437,118,0
438,128,0
439,132,0
440,103,0
441,126,0
442,125,0
443,123,0
444,114,0
445,124,0
446,131,0
447,102,3
448,117,0
449,125,0
450,123,0
451,112,1
452,123,1
453,130,0
454,103,0
455,120,0
456,123,0
457,118,0
458,116,0
459,123,1
460,127,0
461,105,0
462,117,0
463,119,0
464,113,0
465,110,0
466,121,0
467,120,0
468,98,1
469,115,0
470,118,0
471,115,0
472,108,0
473,117,0
474,115,0
475,97,0
476,114,0
477,115,0
478,119,0
479,112,0
480,117,0
481,124,0
482,100,0
483,112,0
484,118,0
485,118,0
486,111,0
487,118,0
488,123,0
489,98,0
490,109,0
491,114,0
492,113,0
493,111,0
494,115,0
495,121,0
496,95,0
497,109,0
498,122,0
499,118,0
500,113,0
501,118,0
502,121,0
503,100,0
504,108,0
505,123,0
506,117,0
507,113,0
508,119,0
509,121,0
510,99,0
511,104,0
512,111,2
513,115,0
514,109,0
515,119,1
516,113,0
517,95,0
518,106,0
519,113,0
520,119,0
521,107,0
522,117,0
523,113,0
524,94,2
525,104,0
526,113,0
527,117,0
528,106,0
529,113,0
530,115,1
531,97,0
532,106,0
533,111,0
534,115,0
535,106,0
536,116,0
537,111,0
538,96,0
539,102,0
540,112,0
541,116,0
542,109,0
543,111,0
544,113,0
545,91,0
546,103,0
547,109,0
548,116,0
549,106,0
550,110,0
551,111,0
552,92,0
553,99,0
554,106,0
555,113,0
556,104,0
557,109,0
558,111,0
559,92,0
560,99,0
561,109,0
562,111,0
563,105,0
564,109,0
565,110,0
566,90,0
567,101,0
568,108,0
569,108,0
570,102,0
571,110,0
572,108,0
573,90,0
574,101,0
575,102,0
576,109,0
577,102,0
578,111,0
579,104,0
580,87,0
581,96,0
582,106,0
583,108,0
584,103,0
585,111,0
586,108,0
587,87,0
588,96,1
589,104,0
590,113,1
591,102,3
592,110,5
593,109,2
594,95,5
595,95,2
596,104,2
597,104,4
598,96,2
599,105,0
600,112,3
601,93,1
602,93,1
603,106,0
604,103,1
605,95,1
606,107,0
607,107,0
608,91,0
609,92,0
610,98,0
611,107,0
612,92,0
613,108,0
614,105,0
615,94,2
616,92,1
617,93,0
618,99,0
619,92,1
620,107,0
621,106,1
622,87,1
623,90,1
624,98,1
625,100,1
626,96,1
627,106,0
628,102,1
629,86,1
630,94,0
631,99,0
632,103,0
633,94,0
634,107,0
635,105,0
636,88,0
637,94,0
638,98,0
639,103,0
640,90,0
641,98,0
642,98,0
643,84,0
644,88,0
645,91,0
646,104,0
647,91,0
648,107,0
649,105,0
650,86,0
651,90,0
652,91,0
653,100,0
654,89,0
655,102,0
656,102,0
657,80,0
658,92,0
659,95,0
660,99,0
661,93,0
662,102,0
663,102,0
664,83,0
665,90,0
666,96,0
667,102,0
668,97,0
669,99,0
670,94,0
671,84,0
672,85,0
673,89,0
674,97,0
675,91,0
676,91,0
677,94,0
678,77,0
679,79,0
680,88,0
681,98,0
682,95,0
683,95,0
684,97,0
685,82,0
686,86,0
687,92,0
688,103,0
689,95,0
690,102,0
691,97,0
692,84,0
693,83,0
694,90,0
695,99,0
696,92,0
697,100,0
698,86,0
699,74,0
700,80,0
701,95,0
702,96,0
703,85,0
704,92,0
705,89,0
706,75,0
707,78,0
708,89,0
709,92,0
710,82,0
711,91,0
712,91,0
713,72,0
714,81,0
715,85,0
716,87,0
717,80,0
718,92,0
719,89,0
